Point ID,EdgeArray_0,EdgeArray_1,EdgeArray_Magnitude,EdgePCoordArray,MaximumInscribedSphereRadius,Points_0,Points_1,Points_2,Points_Magnitude,TCoords__0,TCoords__1,TCoords__Magnitude
0,4223,4223,5972,0,1.86278,62.7519,3.53014,63.179,89.1171,0,0,0
1,51160,57471,76943,0.415492,1.8586,62.719,3.62468,63.177,89.0963,0.000884956,0,0.000884956
2,49149,54134,73117,0.12778,1.85459,62.6832,3.71704,63.1705,89.0703,0.00176991,0,0.00176991
3,40944,55928,69313,0.229639,1.85106,62.6452,3.80978,63.1614,89.041,0.00265487,0,0.00265487
4,54988,54988,77764,0,1.84781,62.6055,3.9016,63.1585,89.015,0.00353982,0,0.00353982
5,37552,37552,53106,0,1.84625,62.567,3.99406,63.1553,88.9897,0.00442478,0,0.00442478
6,20117,20117,28449,0,1.84468,62.5287,4.08624,63.1483,88.962,0.00530973,0,0.00530973
7,21060,6252,21968,0.121863,1.84336,62.489,4.17707,63.1355,88.9293,0.00619469,0,0.00619469
8,35237,35237,49832,0,1.83738,62.4518,4.26825,63.1184,88.8953,0.00707965,0,0.00707965
9,46283,46283,65454,0,1.82668,62.4225,4.36098,63.0926,88.8609,0.0079646,0,0.0079646
10,47408,47408,67045,0,1.81725,62.3827,4.4498,63.0718,88.8226,0.00884956,0,0.00884956
11,57638,57638,81512,0,1.80877,62.3403,4.53836,63.0536,88.7844,0.00973451,0,0.00973451
12,45315,45315,64085,0,1.8017,62.3003,4.62745,63.0316,88.7453,0.0106195,0,0.0106195
13,20261,20261,28653,0,1.7956,62.2581,4.71548,63.0101,88.705,0.0115044,0,0.0115044
14,18932,18932,26773,0,1.78371,62.2234,4.80613,62.986,88.6684,0.0123894,0,0.0123894
15,37294,37370,52795,0.000619124,1.77007,62.1894,4.89484,62.9549,88.6273,0.0132743,0,0.0132743
16,36559,37370,52278,0.00666923,1.76024,62.1512,4.98187,62.9236,88.5831,0.0141593,0,0.0141593
17,8766,35178,36253,0.733528,1.75055,62.1097,5.0674,62.8925,88.5368,0.0150442,0,0.0150442
18,22525,24716,33440,0.153581,1.74116,62.0683,5.15519,62.8685,88.4958,0.0159292,0,0.0159292
19,22525,31531,38750,0.631203,1.73312,62.0339,5.24411,62.838,88.4552,0.0168142,0,0.0168142
20,29983,35823,46714,0.653519,1.72617,61.9953,5.33065,62.806,88.4105,0.0176991,0,0.0176991
21,35916,43318,56270,0.752784,1.7211,61.9537,5.41771,62.7797,88.368,0.0185841,0,0.0185841
22,28042,14740,31679,0.549976,1.71491,61.9071,5.50383,62.7594,88.3263,0.019469,0,0.019469
23,44127,34378,55937,0.215591,1.70961,61.8551,5.58678,62.739,88.2805,0.020354,0,0.020354
24,43665,53425,68999,0.408061,1.70434,61.8063,5.6705,62.7146,88.2343,0.0212389,0,0.0212389
25,42065,49441,64914,0.0810311,1.69894,61.7548,5.75392,62.6946,88.1894,0.0221239,0,0.0221239
26,45651,45651,64560,0,1.69558,61.6983,5.83455,62.6771,88.1427,0.0230088,0,0.0230088
27,44469,44469,62888,0,1.69459,61.6426,5.91686,62.6657,88.1011,0.0238938,0,0.0238938
28,43994,43994,62216,0,1.69344,61.5892,6.00079,62.6547,88.0616,0.0247788,0,0.0247788
29,53704,53703,75948,0.0450083,1.6904,61.5371,6.08513,62.6413,88.0214,0.0256637,0,0.0256637
30,57853,57852,81815,0.146211,1.68929,61.4821,6.16797,62.6303,87.9809,0.0265487,0,0.0265487
31,34587,57828,67382,0.837274,1.68909,61.4254,6.25008,62.6231,87.942,0.0274336,0,0.0274336
32,35987,48412,60322,0.447601,1.69033,61.3718,6.33444,62.6174,87.9065,0.0283186,0,0.0283186
33,37388,38996,54023,0.0579291,1.69156,61.3229,6.42162,62.6132,87.8758,0.0292035,0,0.0292035
34,29414,7020,30240,0.0771371,1.6925,61.2775,6.51076,62.6111,87.8492,0.0300885,0,0.0300885
35,22515,10319,24767,0.0420096,1.69494,61.2292,6.59844,62.6093,87.8207,0.0309735,0,0.0309735
36,15616,13618,20719,0.00688223,1.69738,61.177,6.6838,62.6109,87.7919,0.0318584,0,0.0318584
37,41468,41468,58644,0,1.69848,61.123,6.76773,62.6168,87.765,0.0327434,0,0.0327434
38,40934,40934,57889,0,1.70116,61.0748,6.85551,62.6161,87.7377,0.0336283,0,0.0336283
39,40400,40400,57134,0,1.70385,61.0298,6.94504,62.616,87.7134,0.0345133,0,0.0345133
40,50066,68423,84783,0.305578,1.70675,60.9842,7.03338,62.626,87.6958,0.0353982,0,0.0353982
41,66549,62404,91230,0.058738,1.71001,60.9409,7.12332,62.6323,87.6774,0.0362832,0,0.0362832
42,59364,59364,83953,0,1.7138,60.898,7.21348,62.6386,87.6595,0.0371681,0,0.0371681
43,51601,51601,72974,0,1.71791,60.8537,7.30247,62.6499,87.6442,0.0380531,0,0.0380531
